LnkID,LnkStart,LnkEnd,LnID,LnCode,Dir,DirID,COST(using travel time),turn-back station or not ,waiting time 
56_47,56,47,AEL,10,DOWN,2,120,,60
47_46,47,46,AEL,10,DOWN,2,120,,
46_45,46,45,AEL,10,DOWN,2,120,,
45_44,45,44,AEL,10,DOWN,2,120,,
47_56,47,56,AEL,10,UP,1,120,,
46_47,46,47,AEL,10,UP,1,120,,
45_46,45,46,AEL,10,UP,1,120,,
44_45,44,45,AEL,10,UP,1,120,,
54_55,54,55,DRL,16,DOWN,2,120,,
55_54,55,54,DRL,16,UP,1,120,,
76_75,76,75,EAL,17,DOWN,2,120,,
75_74,75,74,EAL,17,DOWN,2,120,,
74_73,74,73,EAL,17,DOWN,2,120,,
73_72,73,72,EAL,17,DOWN,2,120,,
72_71,72,71,EAL,17,DOWN,2,120,,
71_69,71,69,EAL,17,DOWN,2,120,,
69_68,69,68,EAL,17,DOWN,2,120,,
68_67,68,67,EAL,17,DOWN,2,120,,
67_8,67,8,EAL,17,DOWN,2,120,,
8_65,8,65,EAL,17,DOWN,2,120,,
65_64,65,64,EAL,17,DOWN,2,120,,
78_75,78,75,EAL,17,DOWN,2,120,,
75_76,75,76,EAL,17,UP,1,120,,
74_75,74,75,EAL,17,UP,1,120,,
73_74,73,74,EAL,17,UP,1,120,,
72_73,72,73,EAL,17,UP,1,120,,
71_72,71,72,EAL,17,UP,1,120,,
69_71,69,71,EAL,17,UP,1,120,,
68_69,68,69,EAL,17,UP,1,120,,
67_68,67,68,EAL,17,UP,1,120,,
8_67,8,67,EAL,17,UP,1,120,,
65_8,65,8,EAL,17,UP,1,120,,
64_65,64,65,EAL,17,UP,1,120,,
75_78,75,78,EAL,17,UP,1,120,,
83_82,83,82,ISL,13,UP,1,120,,
82_81,82,81,ISL,13,UP,1,120,,
81_26,81,26,ISL,13,UP,1,120,,
26_1,26,1,ISL,13,UP,1,120,,
1_2,1,2,ISL,13,UP,1,120,,
2_27,2,27,ISL,13,UP,1,120,,
27_28,27,28,ISL,13,UP,1,120,,
28_29,28,29,ISL,13,UP,1,120,,
29_30,29,30,ISL,13,UP,1,120,,
30_31,30,31,ISL,13,UP,1,120,,
31_32,31,32,ISL,13,UP,1,120,,
32_33,32,33,ISL,13,UP,1,120,,
33_34,33,34,ISL,13,UP,1,120,,
34_35,34,35,ISL,13,UP,1,120,,
35_36,35,36,ISL,13,UP,1,120,,
36_37,36,37,ISL,13,UP,1,120,,
82_83,82,83,ISL,13,DOWN,2,120,,
81_82,81,82,ISL,13,DOWN,2,120,,
26_81,26,81,ISL,13,DOWN,2,120,,
1_26,1,26,ISL,13,DOWN,2,120,,
2_1,2,1,ISL,13,DOWN,2,120,,
27_2,27,2,ISL,13,DOWN,2,120,,
28_27,28,27,ISL,13,DOWN,2,120,,
29_28,29,28,ISL,13,DOWN,2,120,,
30_29,30,29,ISL,13,DOWN,2,120,,
31_30,31,30,ISL,13,DOWN,2,120,,
32_31,32,31,ISL,13,DOWN,2,120,,
